City,Date,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Temperature,Humidity,WindSpeed,WindDirection,Rain,month,day_of_week,day_of_year
Delhi,2015-01-12,59.0,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,9.01,16.71,0.62,467.8,Severe,11.012500000000001,86.95833333333333,1.1279166666666667,107.04166666666667,0.0,1,0,12
Delhi,2015-01-13,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,3.1,18.05,9.06,265.3,Moderate,10.979166666666666,87.20833333333333,2.2658333333333336,126.58333333333333,0.0,1,1,13
Delhi,2015-01-14,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,1.33,27.5,8.33,361.0,Moderate,12.670833333333334,85.16666666666667,3.294166666666667,115.66666666666667,4.8,1,2,14
Delhi,2015-01-15,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,16.55,7.68,5.84,481.7,Good,11.854166666666666,84.04166666666667,1.50875,239.91666666666666,0.0,1,3,15
Delhi,2015-01-16,283.3,260.2,137.0,12.5,158.5,1.9,1.88,91.3,167.1,14.94,7.51,0.64,240.1,Poor,13.075000000000001,78.29166666666667,1.9166666666666667,312.0416666666667,0.0,1,4,16
Delhi,2015-01-17,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,12.36,6.02,8.84,257.4,Good,13.495833333333332,79.75,2.2383333333333333,301.7916666666667,0.0,1,5,17
Delhi,2015-01-18,486.5,401.3,97.5,1.0,67.5,21.3,2.88,63.0,171.9,19.79,26.21,3.38,439.8,Good,13.3375,76.45833333333333,2.07625,283.8333333333333,0.0,1,6,18
Delhi,2015-01-19,176.7,498.0,108.8,98.2,224.1,44.6,7.15,95.7,100.2,19.03,17.88,8.97,102.0,Satisfactory,12.8125,75.70833333333333,1.6583333333333332,272.0833333333333,0.0,1,0,19
Delhi,2015-01-20,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,3.39,19.37,6.2,374.5,Very Poor,12.458333333333334,79.58333333333333,2.222916666666667,120.5,0.0,1,1,20
Delhi,2015-01-21,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,19.79,13.28,8.16,192.3,Good,12.25,80.625,3.046666666666667,105.41666666666667,5.3,1,2,21
Delhi,2015-01-22,403.8,423.9,106.4,41.3,106.2,23.0,8.67,68.2,135.0,7.14,8.6,6.4,126.7,Severe,12.629166666666668,87.08333333333333,2.5975,105.08333333333333,18.3,1,3,22
Delhi,2015-01-23,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37.0,139.6,12.89,16.09,8.7,362.2,Good,13.829166666666666,83.875,1.66375,195.33333333333334,0.0,1,4,23
Delhi,2015-01-24,188.3,442.6,191.0,82.8,181.5,13.7,0.53,3.6,37.1,1.62,24.86,7.97,288.8,Good,14.245833333333332,81.25,2.3841666666666668,291.8333333333333,0.0,1,5,24
Delhi,2015-01-25,397.3,457.0,112.9,100.4,87.4,21.1,7.67,76.0,2.7,14.55,25.88,5.98,148.4,Severe,13.479166666666666,76.875,1.9545833333333331,301.5416666666667,0.0,1,6,25
Delhi,2015-01-26,336.2,576.0,52.7,6.6,157.1,0.4,4.15,96.1,165.4,5.0,12.88,4.31,260.0,Satisfactory,13.075000000000001,75.33333333333333,1.9808333333333332,240.125,0.0,1,0,26
Delhi,2015-01-27,125.9,443.0,35.0,120.4,103.5,41.6,4.44,30.5,91.4,10.42,5.67,8.6,225.8,Moderate,12.529166666666667,70.83333333333333,2.8058333333333336,317.375,0.0,1,1,27
Delhi,2015-01-28,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58.0,4.3,2.02,19.5,5.32,260.7,Very Poor,11.129166666666668,75.16666666666667,3.1879166666666667,299.2916666666667,0.0,1,2,28
Delhi,2015-01-29,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95.0,127.3,12.55,28.07,3.73,44.1,Severe,10.620833333333334,69.45833333333333,2.8383333333333334,299.75,0.0,1,3,29
Delhi,2015-01-30,485.5,128.0,37.5,103.7,79.1,10.8,1.14,6.5,133.6,10.55,27.99,7.05,337.9,Moderate,11.4,68.0,3.464166666666667,299.25,0.0,1,4,30
Delhi,2015-01-31,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,3.89,18.54,9.64,489.9,Good,12.6875,66.375,3.3316666666666666,295.375,0.0,1,5,31
Delhi,2015-02-01,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91.0,36.4,5.4,21.36,2.36,447.5,Moderate,13.633333333333333,74.125,2.1175,103.83333333333333,0.0,2,6,32
Delhi,2015-02-02,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,10.1,7.9,5.83,266.8,Poor,15.604166666666666,75.33333333333333,4.060416666666667,112.58333333333333,0.8999999999999999,2,0,33
Delhi,2015-02-03,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,18.51,2.22,2.72,40.7,Good,16.75,79.5,3.467916666666667,154.75,15.8,2,1,34
Delhi,2015-02-04,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,9.07,26.36,0.11,365.4,Severe,13.700000000000001,86.16666666666667,2.8670833333333334,300.2916666666667,0.0,2,2,35
Delhi,2015-02-05,172.9,328.3,79.4,28.6,207.0,13.3,8.51,85.2,189.5,14.27,1.24,2.89,37.6,Satisfactory,13.779166666666667,77.20833333333333,3.0570833333333334,297.5416666666667,0.0,2,3,36
Delhi,2015-02-06,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,0.55,18.71,0.03,52.3,Moderate,13.162500000000001,73.70833333333333,1.6895833333333332,318.0,0.0,2,4,37
Delhi,2015-02-07,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51.0,18.91,5.7,0.75,261.6,Satisfactory,14.454166666666666,69.91666666666667,1.5633333333333332,51.875,0.0,2,5,38
Delhi,2015-02-08,21.0,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,19.33,15.96,1.9,311.0,Moderate,15.012500000000001,73.625,2.0620833333333333,216.79166666666666,1.1,2,6,39
Delhi,2015-02-09,476.6,581.6,20.3,73.0,193.8,12.6,6.1,29.9,106.4,0.85,22.7,6.18,326.7,Moderate,15.416666666666666,72.45833333333333,2.6783333333333332,316.7083333333333,0.0,2,0,40
Delhi,2015-02-10,262.9,178.7,75.4,34.7,188.0,39.8,1.08,2.5,142.6,5.22,27.63,0.9,437.3,Very Poor,14.745833333333332,68.75,2.778333333333333,305.0833333333333,0.0,2,1,41
Delhi,2015-02-11,87.9,210.8,30.8,149.5,197.5,9.6,6.64,34.9,72.4,12.5,10.86,7.25,26.7,Severe,14.429166666666667,66.04166666666667,2.28625,299.5833333333333,0.0,2,2,42
Delhi,2015-02-12,416.1,398.4,145.2,127.7,247.4,45.7,3.24,8.0,27.4,19.31,8.2,3.46,413.9,Satisfactory,14.829166666666666,70.625,2.439583333333333,311.5416666666667,0.0,2,3,43
Delhi,2015-02-13,64.2,531.8,24.7,50.7,168.3,18.3,1.17,7.3,122.4,10.75,19.5,3.53,205.5,Poor,16.316666666666666,64.29166666666667,3.09375,258.625,0.0,2,4,44
Delhi,2015-02-14,381.0,226.1,56.2,137.1,89.2,48.1,8.28,88.5,134.2,5.89,14.48,4.03,493.5,Poor,18.504166666666666,63.875,1.5145833333333334,257.3333333333333,0.0,2,5,45
Delhi,2015-02-15,389.3,412.5,71.4,85.3,167.1,27.1,9.15,60.6,41.6,2.33,15.98,9.75,9.8,Severe,18.195833333333333,71.45833333333333,1.3245833333333332,143.83333333333334,0.0,2,6,46
Delhi,2015-02-16,65.4,70.3,49.0,43.2,80.0,22.6,4.59,30.2,31.9,2.72,19.29,6.46,118.1,Poor,19.604166666666668,70.58333333333333,3.8945833333333333,120.58333333333333,0.4,2,0,47
Delhi,2015-02-17,355.9,417.6,182.8,5.5,64.6,6.8,0.31,22.2,140.9,13.53,26.99,8.83,464.4,Severe,20.083333333333332,74.75,2.870416666666667,97.20833333333333,3.7,2,1,48
Delhi,2015-02-18,252.3,553.2,103.6,11.2,4.9,20.0,0.78,82.4,7.8,17.96,20.74,2.09,208.6,Very Poor,19.4375,77.70833333333333,1.9991666666666665,113.41666666666667,10.8,2,2,49
Delhi,2015-02-19,450.2,576.9,82.2,74.7,74.8,3.1,7.77,81.9,163.1,7.9,4.41,3.08,456.4,Good,19.645833333333332,79.04166666666667,3.32625,105.33333333333333,7.4,2,3,50
Delhi,2015-02-20,318.0,329.0,6.1,64.2,16.6,41.1,1.94,5.8,60.0,7.13,21.31,8.33,16.1,Severe,20.754166666666666,75.75,2.9904166666666665,99.375,0.4,2,4,51
Delhi,2015-02-21,121.9,212.9,158.9,49.6,103.8,41.1,0.08,9.6,178.5,6.04,27.27,1.74,412.8,Moderate,20.179166666666667,76.375,3.2154166666666666,251.75,0.0,2,5,52
Delhi,2015-02-22,190.3,388.7,135.2,75.4,65.5,22.8,1.79,28.6,34.3,19.66,16.12,9.09,136.1,Very Poor,20.133333333333333,70.5,4.497083333333333,301.1666666666667,0.0,2,6,53
Delhi,2015-02-23,318.1,553.9,184.9,62.7,13.2,15.4,7.9,62.8,166.5,9.97,24.42,9.87,305.5,Good,19.787499999999998,78.95833333333333,1.7233333333333334,261.75,0.0,2,0,54
Delhi,2015-02-24,199.8,131.5,21.7,148.8,68.4,32.5,1.49,40.6,77.0,0.24,29.6,9.84,286.3,Severe,20.650000000000002,79.875,2.1058333333333334,134.0,0.1,2,1,55
Delhi,2015-02-25,169.2,458.8,166.7,47.3,182.0,38.4,5.76,5.3,39.1,7.33,18.4,8.45,110.8,Poor,20.954166666666666,81.33333333333333,3.219583333333333,94.20833333333333,16.3,2,2,56
Delhi,2015-02-26,92.3,572.9,17.0,87.6,210.2,34.5,5.96,84.7,113.8,12.44,15.04,7.92,465.8,Severe,18.283333333333335,70.70833333333333,2.045,241.58333333333334,0.0,2,3,57
Delhi,2015-02-27,60.5,74.8,163.2,55.4,85.8,33.9,1.28,79.0,168.7,3.97,27.22,8.75,335.7,Severe,16.587500000000002,69.83333333333333,2.4162500000000002,215.58333333333334,0.0,2,4,58
Delhi,2015-02-28,109.0,169.7,137.1,88.7,56.3,40.5,4.54,54.7,147.9,19.78,0.14,9.9,295.8,Severe,17.658333333333335,59.541666666666664,2.39,91.41666666666667,0.0,2,5,59
Delhi,2015-03-01,382.8,305.1,36.5,149.4,185.2,37.7,5.45,89.7,145.9,3.82,17.77,4.1,353.7,Very Poor,16.7,84.83333333333333,5.7245833333333325,111.91666666666667,22.6,3,6,60
Delhi,2015-03-02,343.1,439.0,35.9,141.3,121.0,44.3,9.66,55.8,18.8,10.98,14.44,4.54,108.5,Very Poor,16.170833333333334,92.70833333333333,4.652916666666667,127.45833333333333,30.2,3,0,61
Delhi,2015-03-03,154.6,531.1,139.3,53.0,14.4,19.5,2.57,76.5,62.9,1.9,0.36,4.09,142.4,Satisfactory,15.529166666666667,86.66666666666667,1.3570833333333334,316.5,0.9,3,1,62
Delhi,2015-03-04,104.3,431.4,53.8,105.2,0.1,20.7,2.37,84.6,12.1,15.7,23.99,5.73,19.2,Very Poor,15.066666666666668,72.79166666666667,2.7770833333333336,305.5,0.0,3,2,63
Delhi,2015-03-05,267.4,418.6,8.2,134.9,68.7,32.1,5.79,29.5,167.7,17.66,22.3,9.05,103.7,Good,16.349999999999998,70.79166666666667,1.7720833333333335,178.625,0.0,3,3,64
Delhi,2015-03-06,217.0,150.5,38.3,94.6,66.1,5.2,3.37,49.2,112.6,17.53,14.95,2.77,497.7,Poor,17.925,70.95833333333333,2.2720833333333332,253.125,0.3,3,4,65
Delhi,2015-03-07,341.0,103.3,21.2,134.5,21.0,28.7,8.73,72.7,50.8,13.47,13.07,7.85,172.7,Good,17.916666666666668,77.04166666666667,1.6670833333333333,230.16666666666666,8.5,3,5,66
Delhi,2015-03-08,186.3,353.5,189.4,35.7,143.4,25.9,4.94,43.2,172.5,7.19,20.43,7.14,68.1,Good,17.804166666666667,80.54166666666667,2.936666666666667,120.0,2.0,3,6,67
Delhi,2015-03-09,454.9,369.8,55.5,142.0,83.2,5.0,2.34,36.1,4.7,19.86,14.62,9.4,368.9,Moderate,16.220833333333335,71.5,3.0954166666666665,263.3333333333333,6.6,3,0,68
Delhi,2015-03-10,59.5,293.3,10.3,145.1,23.5,40.8,5.14,27.4,62.6,7.75,19.09,9.32,20.8,Very Poor,15.808333333333332,71.54166666666667,2.952916666666667,307.0416666666667,0.0,3,1,69
Delhi,2015-03-11,392.8,507.7,50.0,132.2,222.8,3.3,2.96,5.9,43.5,1.04,5.99,2.08,246.4,Poor,17.004166666666666,71.54166666666667,2.5533333333333332,304.2083333333333,0.0,3,2,70
Delhi,2015-03-12,351.1,45.8,191.9,147.7,93.6,49.6,8.38,82.6,107.6,6.47,1.77,3.83,376.3,Moderate,18.099999999999998,69.25,2.3545833333333333,318.6666666666667,0.0,3,3,71
Delhi,2015-03-13,134.0,114.7,139.8,96.8,115.8,4.2,2.91,92.0,174.9,10.97,8.94,7.47,176.3,Poor,18.595833333333335,76.75,1.6825,266.4166666666667,2.1,3,4,72
Delhi,2015-03-14,130.0,235.0,56.6,4.6,170.8,25.2,3.19,60.5,189.6,12.6,29.97,7.22,74.1,Moderate,19.854166666666668,78.91666666666667,2.174166666666667,158.45833333333334,1.5,3,5,73
Delhi,2015-03-15,429.2,20.0,99.7,45.4,69.3,41.4,7.73,93.0,67.2,8.42,2.81,3.1,467.3,Satisfactory,18.150000000000002,87.25,3.420833333333333,128.375,9.6,3,6,74
Delhi,2015-03-16,155.4,358.4,114.2,62.8,232.0,25.3,0.82,9.7,89.1,18.77,20.97,1.22,436.1,Poor,18.01666666666667,86.95833333333333,3.035,115.5,3.8,3,0,75
Delhi,2015-03-17,348.1,361.7,91.9,139.4,88.6,49.4,1.82,60.5,67.7,11.5,16.82,3.59,42.4,Severe,18.945833333333333,77.0,3.25125,315.9166666666667,0.0,3,1,76
Delhi,2015-03-18,441.6,289.1,92.1,131.6,47.9,34.0,3.31,54.3,185.5,3.76,12.83,3.21,403.6,Poor,18.599999999999998,71.20833333333333,3.7716666666666665,296.7916666666667,0.0,3,2,77
Delhi,2015-03-19,134.6,542.3,104.6,94.3,185.4,9.6,4.72,36.9,102.4,15.63,28.78,8.94,280.8,Very Poor,18.9375,69.83333333333333,2.3429166666666665,300.3333333333333,0.0,3,3,78
Delhi,2015-03-20,102.7,348.6,108.7,130.1,151.2,17.7,4.24,91.3,151.7,10.58,22.24,2.27,295.2,Satisfactory,20.058333333333334,68.45833333333333,2.512916666666667,297.5833333333333,0.0,3,4,79
Delhi,2015-03-21,117.6,424.2,191.5,83.7,172.2,19.8,8.62,70.2,18.7,7.77,12.65,3.11,104.5,Very Poor,21.733333333333334,69.70833333333333,2.27375,324.125,0.0,3,5,80
Delhi,2015-03-22,301.5,144.0,49.9,55.6,177.7,14.1,3.54,60.7,61.7,11.73,13.54,3.58,216.1,Satisfactory,22.84166666666667,64.08333333333333,3.41625,304.7916666666667,0.0,3,6,81
Delhi,2015-03-23,439.1,540.0,184.2,68.6,182.8,41.2,6.0,93.0,134.5,3.45,24.75,9.44,271.9,Severe,23.59166666666667,63.75,3.1183333333333336,310.2916666666667,0.0,3,0,82
Delhi,2015-03-24,437.8,293.9,76.3,47.2,161.6,25.7,2.92,41.0,19.5,18.69,18.77,7.72,34.5,Satisfactory,23.912499999999998,64.625,2.13,248.125,0.0,3,1,83
Delhi,2015-03-25,450.7,234.8,125.4,94.8,6.9,38.7,4.21,99.7,193.7,7.14,8.62,1.34,251.1,Good,24.995833333333334,62.625,1.7245833333333334,105.41666666666667,0.0,3,2,84
Delhi,2015-03-26,285.7,577.6,5.9,81.0,211.1,10.3,6.68,88.4,156.5,2.92,14.51,6.18,359.0,Moderate,26.575,59.125,1.41,214.95833333333334,0.3,3,3,85
Delhi,2015-03-27,73.3,306.6,124.4,43.7,159.1,31.9,5.43,49.4,50.1,8.33,29.22,8.15,35.4,Severe,27.05416666666667,57.791666666666664,2.1062499999999997,328.4583333333333,0.0,3,4,86
Delhi,2015-03-28,158.3,529.7,198.0,131.3,233.4,15.9,8.72,59.1,141.7,15.14,23.72,0.49,376.7,Moderate,25.2625,53.083333333333336,1.7254166666666666,214.33333333333334,0.0,3,5,87
Delhi,2015-03-29,383.4,137.4,2.9,19.1,248.7,29.1,0.78,24.4,101.9,9.15,16.22,0.84,405.4,Severe,25.508333333333336,52.458333333333336,3.98,118.45833333333333,0.30000000000000004,3,6,88
Delhi,2015-03-30,483.8,272.3,131.7,125.1,96.8,29.9,8.06,52.0,184.7,1.57,22.11,1.24,239.5,Very Poor,22.15416666666667,73.83333333333333,4.9054166666666665,111.91666666666667,2.4,3,0,89
Delhi,2015-03-31,407.3,518.9,26.4,147.8,101.4,44.5,6.17,56.8,61.3,10.35,13.6,4.64,220.9,Poor,22.766666666666666,69.45833333333333,2.3683333333333336,92.625,0.1,3,1,90
Delhi,2015-04-01,497.0,199.0,138.6,15.1,45.1,32.2,4.71,49.5,91.8,16.35,21.71,3.05,155.8,Satisfactory,24.079166666666666,65.54166666666667,1.9066666666666665,122.79166666666667,0.7,4,2,91
Delhi,2015-04-02,341.5,588.2,47.7,100.0,28.3,37.1,5.71,25.8,75.1,18.46,25.34,1.86,420.4,Severe,26.383333333333336,56.0,2.4575,117.20833333333333,0.1,4,3,92
Delhi,2015-04-03,157.0,337.3,149.0,100.6,206.0,36.2,9.88,33.1,169.7,6.52,20.29,7.22,87.4,Very Poor,23.287499999999998,72.54166666666667,2.8695833333333334,146.29166666666666,8.4,4,4,93
Delhi,2015-04-04,419.1,31.5,178.9,83.8,161.1,29.6,8.36,48.7,2.9,1.44,24.85,3.62,400.4,Very Poor,20.675,83.375,1.9266666666666667,150.125,9.9,4,5,94
Delhi,2015-04-05,376.9,236.2,30.2,42.6,162.2,20.9,6.27,74.8,7.7,3.21,4.94,6.33,315.7,Moderate,22.125,69.29166666666667,1.6191666666666666,135.0,0.0,4,6,95
Delhi,2015-04-06,131.4,175.9,6.5,50.1,150.4,15.8,8.33,32.0,5.2,12.34,6.86,5.63,467.2,Poor,23.558333333333334,59.416666666666664,2.13125,259.5416666666667,0.0,4,0,96
Delhi,2015-04-07,202.9,410.3,142.8,19.1,218.4,8.1,7.79,88.5,173.7,0.68,15.79,8.39,479.2,Satisfactory,21.991666666666664,67.70833333333333,1.73625,153.91666666666666,2.5,4,1,97
Delhi,2015-04-08,190.5,148.9,156.4,59.0,243.5,16.7,7.91,79.1,19.8,2.12,16.34,1.58,134.2,Severe,23.212500000000002,63.0,1.9520833333333334,244.20833333333334,0.0,4,2,98
Delhi,2015-04-09,263.4,131.5,113.2,72.8,123.1,42.5,7.04,16.0,113.1,3.88,17.2,1.99,198.1,Poor,23.708333333333332,58.166666666666664,3.1616666666666666,313.9583333333333,0.0,4,3,99
Delhi,2015-04-10,279.6,426.9,31.7,15.6,8.0,34.7,8.84,44.2,35.1,2.47,26.87,8.1,37.9,Good,25.212500000000002,51.791666666666664,2.984583333333333,258.5833333333333,0.0,4,4,100
Delhi,2015-04-11,155.6,59.2,149.4,34.3,208.8,28.1,3.88,82.3,150.2,18.53,1.77,7.06,452.2,Severe,26.1125,48.833333333333336,1.5899999999999999,201.95833333333334,0.0,4,5,101
Delhi,2015-04-12,435.4,494.1,102.9,97.2,198.6,41.5,1.58,33.2,71.0,14.86,25.47,8.39,397.7,Poor,24.462500000000002,56.916666666666664,1.8808333333333334,157.29166666666666,0.0,4,6,102
Delhi,2015-04-13,483.8,448.7,0.3,37.3,116.5,41.8,0.89,17.1,164.8,13.12,22.92,0.61,165.5,Very Poor,23.454166666666666,70.04166666666667,2.782083333333333,95.125,9.7,4,0,103
Delhi,2015-04-14,451.6,290.0,83.5,79.5,102.9,31.0,1.71,48.2,45.8,11.55,1.63,9.99,75.9,Severe,24.116666666666664,69.95833333333333,2.4775,102.54166666666667,0.2,4,1,104
Delhi,2015-04-15,351.3,443.6,55.4,94.1,193.6,45.3,6.09,18.2,198.2,1.63,27.48,0.33,458.0,Very Poor,25.47083333333333,63.291666666666664,2.268333333333333,110.125,0.0,4,2,105
Delhi,2015-04-16,181.7,45.7,39.8,138.3,232.7,14.0,6.46,34.2,170.9,7.3,19.52,1.23,105.8,Satisfactory,25.916666666666668,62.333333333333336,2.1320833333333336,178.58333333333334,0.0,4,3,106
Delhi,2015-04-17,489.6,493.6,22.9,116.3,16.3,37.9,9.67,44.1,60.3,13.47,3.07,8.28,37.1,Severe,27.320833333333336,55.458333333333336,3.0608333333333335,315.9583333333333,0.0,4,4,107
Delhi,2015-04-18,137.9,554.0,168.7,12.7,146.3,5.3,2.43,63.2,119.7,13.9,11.85,6.97,379.0,Severe,29.570833333333336,45.125,2.5933333333333333,317.7083333333333,0.0,4,5,108
Delhi,2015-04-19,262.0,498.8,143.0,113.0,85.2,1.8,4.19,1.4,195.1,13.54,6.33,5.52,118.1,Moderate,31.28333333333333,38.166666666666664,1.9104166666666667,209.58333333333334,0.0,4,6,109
Delhi,2015-04-20,188.2,460.0,90.9,96.9,164.1,14.0,5.18,100.0,37.3,6.62,2.66,8.73,269.1,Very Poor,31.46666666666667,38.125,3.373333333333333,120.29166666666667,0.2,4,0,110
Delhi,2015-04-21,338.0,277.2,3.8,105.4,82.8,42.1,0.61,15.9,135.2,9.31,27.34,3.13,198.4,Moderate,30.90833333333333,35.916666666666664,2.815416666666667,303.7916666666667,0.0,4,1,111
Delhi,2015-04-22,398.5,464.4,64.5,18.8,105.5,6.3,1.28,76.1,68.3,18.53,2.55,4.58,40.4,Poor,30.116666666666664,26.708333333333332,3.3658333333333332,244.04166666666666,0.0,4,2,112
Delhi,2015-04-23,124.2,242.7,20.9,87.0,128.4,46.3,3.85,80.9,98.8,1.26,3.57,9.74,252.3,Satisfactory,30.433333333333334,25.166666666666668,2.267916666666667,174.45833333333334,0.0,4,3,113
Delhi,2015-04-24,287.7,513.2,48.5,108.1,178.3,22.0,2.97,61.1,6.3,6.7,2.33,9.09,256.2,Satisfactory,31.541666666666668,25.958333333333332,1.63875,156.83333333333334,0.0,4,4,114
Delhi,2015-04-25,204.1,11.7,127.3,10.2,242.0,18.0,6.0,51.3,42.1,5.17,25.51,0.73,181.9,Good,29.645833333333332,35.916666666666664,4.618333333333333,118.20833333333333,1.0,4,5,115
Delhi,2015-04-26,106.1,41.4,179.2,16.0,2.1,0.1,8.81,59.1,195.2,15.71,1.59,8.04,12.9,Very Poor,28.40416666666667,48.625,4.898750000000001,107.95833333333333,0.0,4,6,116
Delhi,2015-04-27,354.9,508.9,67.4,68.5,186.3,49.5,9.3,51.0,12.5,10.04,25.16,4.17,149.5,Good,29.370833333333334,50.416666666666664,3.89,122.875,0.9,4,0,117
Delhi,2015-04-28,173.6,196.2,58.0,145.9,235.4,0.4,8.03,78.5,45.2,10.77,19.67,8.96,149.9,Very Poor,29.691666666666666,49.791666666666664,2.84625,114.04166666666667,1.4,4,1,118
Delhi,2015-04-29,82.8,532.4,56.9,5.9,123.9,30.1,8.95,99.6,13.4,3.75,9.24,3.14,392.8,Very Poor,29.59583333333333,47.041666666666664,2.34625,146.08333333333334,0.0,4,2,119
Delhi,2015-04-30,334.1,351.2,25.0,68.0,47.4,0.0,1.69,19.9,27.9,12.24,27.05,3.66,106.3,Severe,30.291666666666668,46.083333333333336,4.16,114.95833333333333,1.3,4,3,120
Delhi,2015-05-01,176.8,97.0,57.0,133.9,193.2,48.1,5.01,4.5,66.4,18.83,0.97,6.23,139.2,Moderate,30.0125,39.708333333333336,2.7225,172.66666666666666,0.0,5,4,121
Delhi,2015-05-02,117.2,560.8,172.4,92.5,122.5,36.3,9.82,19.9,148.1,19.88,14.51,9.19,288.3,Good,30.037499999999998,28.625,2.6179166666666664,267.125,0.0,5,5,122
Delhi,2015-05-03,179.5,469.2,176.0,21.5,237.8,20.7,9.15,46.6,167.0,12.32,12.96,3.96,481.3,Good,30.02916666666667,24.833333333333332,2.111666666666667,185.83333333333334,0.0,5,6,123
Delhi,2015-05-04,404.1,486.1,55.7,124.6,73.6,40.2,0.11,83.1,99.4,11.23,20.27,9.09,339.7,Severe,30.34583333333333,28.333333333333332,2.13625,285.3333333333333,0.0,5,0,124
Delhi,2015-05-05,175.1,295.2,72.9,76.2,3.9,36.9,5.23,11.7,193.2,0.59,18.82,0.03,420.3,Poor,31.520833333333332,27.666666666666668,2.7541666666666664,302.7916666666667,0.0,5,1,125
Delhi,2015-05-06,20.7,343.3,59.7,18.5,89.4,35.6,3.94,18.4,37.6,9.52,22.75,2.52,482.3,Severe,32.479166666666664,28.0,2.5279166666666666,231.45833333333334,0.0,5,2,126
Delhi,2015-05-07,415.6,50.8,17.4,146.9,94.9,15.7,0.43,56.0,127.8,7.86,2.54,8.5,356.1,Very Poor,33.40833333333333,26.458333333333332,2.75375,251.625,0.0,5,3,127
